epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,3561.85,0.83475,0.44695,0.95797,0.57263,0.22457,0.2436,0.103,2.21719,1.76486,1.13905,0.004654,0.004654,0.004654
56,3716.62,0.84141,0.44703,0.95981,0.5728,0.22085,0.24035,0.10076,2.22158,1.78695,1.14078,0.004555,0.004555,0.004555
57,3871.43,0.83665,0.44267,0.95901,0.57862,0.21661,0.2365,0.09814,2.251,1.86781,1.15273,0.004456,0.004456,0.004456
58,4026.12,0.83288,0.44033,0.95782,0.56764,0.21322,0.23049,0.09387,2.29453,1.81217,1.16984,0.004357,0.004357,0.004357
59,4180.75,0.82221,0.43296,0.95054,0.57752,0.21033,0.23018,0.09586,2.26248,1.84966,1.15738,0.004258,0.004258,0.004258
60,4335.28,0.81708,0.42853,0.94605,0.57172,0.22057,0.23845,0.0997,2.23301,1.81891,1.14242,0.004159,0.004159,0.004159
61,4489.98,0.81208,0.43016,0.9458,0.56745,0.22159,0.24055,0.09967,2.25015,1.77877,1.14682,0.00406,0.00406,0.00406
62,4644.66,0.81542,0.42891,0.94779,0.56666,0.22587,0.24387,0.1009,2.2315,1.76887,1.14179,0.003961,0.003961,0.003961
63,4799.41,0.80801,0.4271,0.94664,0.57642,0.22718,0.24578,0.1008,2.24733,1.75986,1.14963,0.003862,0.003862,0.003862
64,4954.13,0.80917,0.42142,0.9437,0.57047,0.22085,0.24059,0.09907,2.23037,1.83745,1.14366,0.003763,0.003763,0.003763
65,5108.91,0.80707,0.42147,0.94482,0.57996,0.21778,0.23815,0.09774,2.2375,1.85439,1.14404,0.003664,0.003664,0.003664
66,5263.48,0.80291,0.42348,0.94335,0.58185,0.22206,0.24151,0.09889,2.23794,1.81957,1.13922,0.003565,0.003565,0.003565
67,5418.23,0.79724,0.41701,0.93965,0.58613,0.21954,0.24271,0.0992,2.23682,1.85081,1.14306,0.003466,0.003466,0.003466
68,5572.91,0.79395,0.41771,0.94181,0.57906,0.21685,0.23894,0.09666,2.25097,1.89112,1.14801,0.003367,0.003367,0.003367
69,5727.58,0.78741,0.4089,0.93518,0.5732,0.21415,0.23563,0.09525,2.26415,1.89926,1.15588,0.003268,0.003268,0.003268
70,5882.15,0.78306,0.41036,0.93536,0.57,0.21843,0.23779,0.09611,2.2611,1.8946,1.15704,0.003169,0.003169,0.003169
71,6036.97,0.77937,0.4063,0.93293,0.57517,0.21824,0.23874,0.09752,2.25813,1.88785,1.15876,0.00307,0.00307,0.00307
72,6191.69,0.7795,0.40513,0.9316,0.575,0.2188,0.23976,0.09769,2.25299,1.88187,1.15589,0.002971,0.002971,0.002971
73,6346.55,0.77818,0.40428,0.93159,0.56473,0.22113,0.23908,0.09727,2.2462,1.85491,1.1534,0.002872,0.002872,0.002872
74,6501.29,0.77072,0.40019,0.92727,0.56553,0.2206,0.23799,0.09744,2.24762,1.86607,1.15277,0.002773,0.002773,0.002773
75,6655.88,0.76714,0.39649,0.92846,0.55949,0.21936,0.23814,0.09741,2.24394,1.87786,1.15018,0.002674,0.002674,0.002674
76,6810.62,0.76294,0.39698,0.92722,0.56417,0.21833,0.2382,0.09719,2.24288,1.86428,1.14916,0.002575,0.002575,0.002575
77,6965.25,0.76068,0.39207,0.92257,0.56803,0.21731,0.23849,0.0974,2.24369,1.87192,1.14844,0.002476,0.002476,0.002476
78,7120.01,0.76549,0.39327,0.92451,0.56984,0.21805,0.23827,0.098,2.24025,1.85769,1.14662,0.002377,0.002377,0.002377
79,7274.82,0.75025,0.38944,0.9223,0.56734,0.21759,0.2386,0.09777,2.24251,1.85248,1.14822,0.002278,0.002278,0.002278
80,7429.6,0.7431,0.3844,0.9176,0.57599,0.21461,0.23636,0.09652,2.24586,1.87432,1.14975,0.002179,0.002179,0.002179
81,7584.28,0.74504,0.38528,0.9206,0.5731,0.21536,0.23665,0.0966,2.24897,1.86743,1.15027,0.00208,0.00208,0.00208
82,7738.86,0.74214,0.3811,0.91622,0.57022,0.21275,0.23532,0.09587,2.25701,1.87063,1.15244,0.001981,0.001981,0.001981
83,7893.49,0.73413,0.37725,0.9152,0.57157,0.21126,0.2358,0.09606,2.25571,1.86992,1.15148,0.001882,0.001882,0.001882
84,8048.08,0.73214,0.37595,0.91319,0.57323,0.21107,0.23547,0.09605,2.25455,1.87377,1.15119,0.001783,0.001783,0.001783
85,8202.73,0.72471,0.37132,0.91216,0.56928,0.21107,0.23542,0.09629,2.25563,1.8743,1.1521,0.001684,0.001684,0.001684
86,8357.26,0.72709,0.37358,0.91298,0.57335,0.21033,0.2349,0.09597,2.25851,1.87532,1.15294,0.001585,0.001585,0.001585
87,8511.78,0.72046,0.37003,0.91252,0.56877,0.21014,0.23416,0.09587,2.25694,1.88258,1.15264,0.001486,0.001486,0.001486
88,8669.54,0.7163,0.36436,0.90803,0.56575,0.21061,0.23433,0.09577,2.25679,1.8935,1.15269,0.001387,0.001387,0.001387
89,8823.2,0.71288,0.36242,0.90819,0.56513,0.21014,0.2341,0.09558,2.25714,1.90279,1.15293,0.001288,0.001288,0.001288
90,8976.63,0.71126,0.36254,0.90649,0.56079,0.20884,0.23322,0.0952,2.25928,1.91023,1.15349,0.001189,0.001189,0.001189
91,9130.43,0.65282,0.33243,0.92401,0.56212,0.20991,0.23349,0.09519,2.25987,1.90895,1.15317,0.00109,0.00109,0.00109
92,9282.85,0.63515,0.32615,0.91709,0.56167,0.20893,0.23309,0.09477,2.26213,1.92037,1.15395,0.000991,0.000991,0.000991
93,9435.29,0.63109,0.32153,0.91379,0.55925,0.20689,0.23177,0.09426,2.26599,1.93397,1.15524,0.000892,0.000892,0.000892
94,9587.74,0.61982,0.31541,0.90832,0.55797,0.20629,0.23183,0.09387,2.26689,1.94506,1.15566,0.000793,0.000793,0.000793
95,9740.16,0.61678,0.31371,0.90729,0.55852,0.20493,0.23112,0.09365,2.26868,1.95622,1.15682,0.000694,0.000694,0.000694
96,9892.72,0.60667,0.30873,0.90214,0.56344,0.20335,0.2311,0.09351,2.27061,1.96802,1.15777,0.000595,0.000595,0.000595
97,10045.2,0.60064,0.30442,0.90134,0.55863,0.2027,0.23043,0.09323,2.27141,1.97928,1.15829,0.000496,0.000496,0.000496
98,10197.5,0.59605,0.30059,0.8964,0.55801,0.20251,0.22993,0.0932,2.27292,1.98695,1.15932,0.000397,0.000397,0.000397
99,10349.9,0.59331,0.29825,0.89743,0.5605,0.20149,0.22962,0.09298,2.27561,1.99563,1.16029,0.000298,0.000298,0.000298
100,10502.3,0.59126,0.29766,0.89637,0.56339,0.20074,0.22897,0.09275,2.27773,2.00482,1.16113,0.000199,0.000199,0.000199
