epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,46960.1,0.75741,0.38714,1.00592,0.64205,0.25556,0.28984,0.12523,2.24281,1.79721,1.18558,0.003169,0.003169,0.003169
71,48477,0.74811,0.3776,0.99631,0.64386,0.25928,0.29215,0.12631,2.2363,1.79432,1.18309,0.00307,0.00307,0.00307
72,50090.1,0.73999,0.37326,0.99965,0.64622,0.25668,0.29305,0.12579,2.24206,1.81658,1.18568,0.002971,0.002971,0.002971
73,51867.6,0.741,0.37952,1.00046,0.64061,0.25696,0.2919,0.12564,2.24333,1.81511,1.1877,0.002872,0.002872,0.002872
74,53442.7,0.73405,0.37176,0.99392,0.64078,0.25705,0.29093,0.12507,2.24638,1.80875,1.19206,0.002773,0.002773,0.002773
75,55004.6,0.73082,0.37242,0.9946,0.6386,0.25835,0.29284,0.12604,2.23694,1.81335,1.18814,0.002674,0.002674,0.002674
76,56564.3,0.72173,0.3612,0.98817,0.63906,0.2577,0.29215,0.12579,2.23764,1.81803,1.18744,0.002575,0.002575,0.002575
77,1521.83,0.69885,0.34608,0.97621,0.63855,0.255,0.29017,0.12457,2.24529,1.84024,1.19058,0.002476,0.002476,0.002476
78,3037.47,0.70229,0.34653,0.97801,0.64247,0.2537,0.29127,0.12493,2.24259,1.85141,1.18961,0.002377,0.002377,0.002377
79,4559.52,0.69571,0.34497,0.97794,0.64022,0.25388,0.29159,0.1249,2.24256,1.84847,1.18797,0.002278,0.002278,0.002278
80,6076.28,0.68683,0.34071,0.97087,0.6365,0.25406,0.29168,0.12469,2.24164,1.85038,1.18695,0.002179,0.002179,0.002179
81,7591.4,0.6927,0.3419,0.97038,0.63775,0.25314,0.29106,0.12437,2.24163,1.86233,1.18644,0.00208,0.00208,0.00208
82,9106.61,0.68106,0.3386,0.9656,0.63933,0.25221,0.29116,0.12429,2.2461,1.87766,1.18797,0.001981,0.001981,0.001981
83,10622.1,0.67904,0.33659,0.96746,0.64137,0.25147,0.29069,0.1237,2.2494,1.893,1.18836,0.001882,0.001882,0.001882
84,12136.9,0.67111,0.3328,0.96287,0.63663,0.25109,0.29031,0.12384,2.24852,1.89533,1.18833,0.001783,0.001783,0.001783
85,13654.9,0.66833,0.32716,0.95674,0.63741,0.24933,0.28864,0.12321,2.25231,1.90815,1.19062,0.001684,0.001684,0.001684
86,15171.5,0.65845,0.32428,0.9568,0.63589,0.24784,0.2875,0.12261,2.25926,1.91174,1.19359,0.001585,0.001585,0.001585
87,16688.9,0.65954,0.32409,0.95413,0.63241,0.24849,0.28755,0.12212,2.26228,1.91683,1.19546,0.001486,0.001486,0.001486
88,18205.5,0.64973,0.32035,0.95336,0.63427,0.24774,0.28796,0.12244,2.26257,1.92108,1.1955,0.001387,0.001387,0.001387
89,19722.3,0.64316,0.31345,0.94766,0.63216,0.24839,0.28818,0.12256,2.26486,1.93315,1.19621,0.001288,0.001288,0.001288
90,21240.9,0.63966,0.31548,0.94416,0.63024,0.24746,0.28741,0.12235,2.26799,1.94063,1.19672,0.001189,0.001189,0.001189
91,22757.7,0.6163,0.3091,0.96761,0.63228,0.24821,0.28751,0.12207,2.26834,1.94708,1.19558,0.00109,0.00109,0.00109
92,24274.4,0.61371,0.30429,0.9658,0.6356,0.24756,0.28684,0.12193,2.26829,1.95535,1.1941,0.000991,0.000991,0.000991
93,25790.5,0.59936,0.30006,0.95833,0.63495,0.24672,0.28654,0.12212,2.26965,1.96325,1.1938,0.000892,0.000892,0.000892
94,27306.7,0.59189,0.29217,0.95551,0.63405,0.24691,0.28707,0.12214,2.26946,1.96857,1.19373,0.000793,0.000793,0.000793
95,28822.5,0.58703,0.29641,0.95169,0.63245,0.2457,0.28667,0.12205,2.27045,1.97554,1.19371,0.000694,0.000694,0.000694
96,30338.5,0.58074,0.28366,0.94825,0.63204,0.24532,0.28677,0.12185,2.27249,1.98334,1.19419,0.000595,0.000595,0.000595
97,31854.8,0.57552,0.27968,0.94882,0.63426,0.24477,0.28684,0.12171,2.27301,1.9906,1.19376,0.000496,0.000496,0.000496
98,33370.1,0.57179,0.28045,0.94375,0.63711,0.24421,0.28718,0.12212,2.27232,1.99679,1.19341,0.000397,0.000397,0.000397
99,34884.6,0.56834,0.27941,0.94214,0.63896,0.24337,0.28703,0.12218,2.27208,2.00144,1.19334,0.000298,0.000298,0.000298
100,36397.1,0.56176,0.27314,0.93411,0.64239,0.24318,0.28738,0.12213,2.27211,2.00439,1.19328,0.000199,0.000199,0.000199
